system:index,date,day,latitude,longitude,mean_2m_air_temperature,month,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,year,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030901_0,2003-09-01,1,41.3786852470309,-73.97633859179348,289.77347,9,0.0057678353,-0.65815014,0.7475197,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030901_1,2003-09-01,1,41.3786852470309,-73.9314228275875,289.77347,9,0.0057678353,-0.65815014,0.7475197,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030901_2,2003-09-01,1,41.33376948282493,-73.97633859179348,289.77347,9,0.0057678353,-0.65815014,0.7475197,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030901_3,2003-09-01,1,41.33376948282493,-73.9314228275875,289.77347,9,0.0057678353,-0.65815014,0.7475197,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030902_0,2003-09-02,2,41.3786852470309,-73.97633859179348,288.38376,9,0.043785963,-2.0645804,-1.2457201,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030902_1,2003-09-02,2,41.3786852470309,-73.9314228275875,288.38376,9,0.043785963,-2.0645804,-1.2457201,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030902_2,2003-09-02,2,41.33376948282493,-73.97633859179348,288.38376,9,0.043785963,-2.0645804,-1.2457201,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030902_3,2003-09-02,2,41.33376948282493,-73.9314228275875,288.38376,9,0.043785963,-2.0645804,-1.2457201,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030903_0,2003-09-03,3,41.3786852470309,-73.97633859179348,289.52097,9,0.0013076998,-2.1376889,0.79189444,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030903_1,2003-09-03,3,41.3786852470309,-73.9314228275875,289.52097,9,0.0013076998,-2.1376889,0.79189444,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
