system:index,elevation,latitude,longitude,.geo
0,327,41.398275142983906,-73.99668957457507,"{""type"":""Point"",""coordinates"":[-73.99668957457507,41.398275142983906]}"
1,339,41.398275142983906,-73.99219799815448,"{""type"":""Point"",""coordinates"":[-73.99219799815448,41.398275142983906]}"
2,290,41.398275142983906,-73.98770642173389,"{""type"":""Point"",""coordinates"":[-73.98770642173389,41.398275142983906]}"
3,180,41.398275142983906,-73.98321484531328,"{""type"":""Point"",""coordinates"":[-73.98321484531328,41.398275142983906]}"
4,135,41.398275142983906,-73.9787232688927,"{""type"":""Point"",""coordinates"":[-73.9787232688927,41.398275142983906]}"
5,107,41.398275142983906,-73.97423169247209,"{""type"":""Point"",""coordinates"":[-73.97423169247209,41.398275142983906]}"
6,83,41.398275142983906,-73.9697401160515,"{""type"":""Point"",""coordinates"":[-73.9697401160515,41.398275142983906]}"
7,55,41.398275142983906,-73.96524853963089,"{""type"":""Point"",""coordinates"":[-73.96524853963089,41.398275142983906]}"
8,10,41.398275142983906,-73.9607569632103,"{""type"":""Point"",""coordinates"":[-73.9607569632103,41.398275142983906]}"
9,8,41.398275142983906,-73.9562653867897,"{""type"":""Point"",""coordinates"":[-73.9562653867897,41.398275142983906]}"
10,8,41.398275142983906,-73.9517738103691,"{""type"":""Point"",""coordinates"":[-73.9517738103691,41.398275142983906]}"
11,0,41.398275142983906,-73.9472822339485,"{""type"":""Point"",""coordinates"":[-73.9472822339485,41.398275142983906]}"
12,1,41.398275142983906,-73.94279065752791,"{""type"":""Point"",""coordinates"":[-73.94279065752791,41.398275142983906]}"
13,4,41.398275142983906,-73.9382990811073,"{""type"":""Point"",""coordinates"":[-73.93829908110732,41.398275142983906]}"
14,61,41.398275142983906,-73.93380750468671,"{""type"":""Point"",""coordinates"":[-73.93380750468671,41.398275142983906]}"
15,90,41.398275142983906,-73.92931592826612,"{""type"":""Point"",""coordinates"":[-73.92931592826612,41.398275142983906]}"
16,149,41.398275142983906,-73.92482435184552,"{""type"":""Point"",""coordinates"":[-73.92482435184552,41.398275142983906]}"
17,131,41.398275142983906,-73.92033277542492,"{""type"":""Point"",""coordinates"":[-73.92033277542492,41.398275142983906]}"
18,176,41.398275142983906,-73.91584119900432,"{""type"":""Point"",""coordinates"":[-73.91584119900432,41.398275142983906]}"
19,194,41.398275142983906,-73.91134962258373,"{""type"":""Point"",""coordinates"":[-73.91134962258373,41.398275142983906]}"
20,247,41.398275142983906,-73.90685804616312,"{""type"":""Point"",""coordinates"":[-73.90685804616312,41.398275142983906]}"
21,258,41.398275142983906,-73.90236646974253,"{""type"":""Point"",""coordinates"":[-73.90236646974253,41.398275142983906]}"
22,288,41.3937835665633,-73.99668957457507,"{""type"":""Point"",""coordinates"":[-73.99668957457507,41.39378356656331]}"
23,281,41.3937835665633,-73.99219799815448,"{""type"":""Point"",""coordinates"":[-73.99219799815448,41.39378356656331]}"
24,209,41.3937835665633,-73.98770642173389,"{""type"":""Point"",""coordinates"":[-73.98770642173389,41.3937835665633]}"
25,199,41.3937835665633,-73.98321484531328,"{""type"":""Point"",""coordinates"":[-73.98321484531328,41.39378356656331]}"
26,218,41.3937835665633,-73.9787232688927,"{""type"":""Point"",""coordinates"":[-73.9787232688927,41.39378356656331]}"
27,190,41.3937835665633,-73.97423169247209,"{""type"":""Point"",""coordinates"":[-73.97423169247209,41.39378356656331]}"
28,173,41.3937835665633,-73.9697401160515,"{""type"":""Point"",""coordinates"":[-73.9697401160515,41.39378356656331]}"
