system:index,NDVI,date,doy,latitude,longitude,year,.geo
2023_01_01_0,0.47230867,2023-01-01,0,41.39935685839311,-73.99471234337264,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.99471234337264,41.39935685839311]}"
2023_01_01_1,0.46285716,2023-01-01,0,41.39935685839311,-73.98871781983449,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.98871781983449,41.39935685839311]}"
2023_01_01_2,0.39297846,2023-01-01,0,41.39935685839311,-73.98272329629634,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.98272329629634,41.39935685839311]}"
2023_01_01_3,0.39297846,2023-01-01,0,41.39935685839311,-73.97672877275821,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97672877275821,41.39935685839311]}"
2023_01_01_4,0.41588554,2023-01-01,0,41.39935685839311,-73.97073424922006,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97073424922006,41.39935685839311]}"
2023_01_01_5,0.19389701,2023-01-01,0,41.39935685839311,-73.96473972568191,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.96473972568191,41.39935685839311]}"
2023_01_01_6,0.19389701,2023-01-01,0,41.39935685839311,-73.95874520214376,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.95874520214376,41.39935685839311]}"
2023_01_01_7,-0.24152543,2023-01-01,0,41.39935685839311,-73.95275067860561,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.95275067860561,41.39935685839311]}"
2023_01_01_8,-0.0751252,2023-01-01,0,41.39935685839311,-73.94675615506746,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.94675615506746,41.39935685839311]}"
2023_01_01_9,0.41995135,2023-01-01,0,41.39935685839311,-73.94076163152933,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.94076163152933,41.39935685839311]}"
2023_01_01_10,0.5526531,2023-01-01,0,41.39935685839311,-73.93476710799116,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.93476710799116,41.39935685839311]}"
2023_01_01_11,0.5526531,2023-01-01,0,41.39935685839311,-73.92877258445301,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.92877258445301,41.39935685839311]}"
2023_01_01_12,0.562724,2023-01-01,0,41.39935685839311,-73.92277806091488,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.92277806091488,41.39935685839311]}"
2023_01_01_13,0.50861686,2023-01-01,0,41.39935685839311,-73.91678353737673,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.91678353737673,41.39935685839311]}"
2023_01_01_14,0.48949212,2023-01-01,0,41.39935685839311,-73.91078901383858,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.91078901383858,41.39935685839311]}"
2023_01_01_15,0.49650836,2023-01-01,0,41.39935685839311,-73.90479449030043,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.90479449030043,41.39935685839311]}"
2023_01_01_16,0.46546054,2023-01-01,0,41.394860255431816,-73.99558746396778,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.99558746396778,41.394860255431816]}"
2023_01_01_17,0.50038433,2023-01-01,0,41.394860255431816,-73.98959335513355,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.98959335513355,41.394860255431816]}"
2023_01_01_18,0.50038433,2023-01-01,0,41.394860255431816,-73.98359924629928,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.98359924629928,41.394860255431816]}"
2023_01_01_19,0.4653313,2023-01-01,0,41.394860255431816,-73.97760513746503,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97760513746503,41.394860255431816]}"
2023_01_01_20,0.40406975,2023-01-01,0,41.394860255431816,-73.97161102863078,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97161102863078,41.394860255431816]}"
2023_01_01_21,0.457539,2023-01-01,0,41.394860255431816,-73.96561691979655,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.96561691979655,41.394860255431816]}"
2023_01_01_22,0.457539,2023-01-01,0,41.394860255431816,-73.95962281096229,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.95962281096229,41.394860255431816]}"
